  Epoch    Dlat    DLon    DHoriz  Dheight 
  495945  -0.293  -0.470   0.554   0.421  
  495946  -0.288  -0.470   0.552   0.418  
  495947  -0.289  -0.468   0.550   0.416  
  495948  -0.286  -0.463   0.544   0.420  
  495949  -0.284  -0.460   0.541   0.420  
  495950  -0.283  -0.457   0.538   0.419  
  495951  -0.279  -0.455   0.534   0.418  
  495952  -0.275  -0.450   0.527   0.417  
  495953  -0.270  -0.447   0.522   0.422  
  495954  -0.267  -0.445   0.519   0.415  
  495955  -0.267  -0.440   0.515   0.423  
  495956  -0.266  -0.439   0.513   0.417  
  495957  -0.260  -0.435   0.507   0.416  
  495958  -0.256  -0.431   0.502   0.417  
  495959  -0.253  -0.427   0.496   0.416  
  495960  -0.250  -0.427   0.494   0.407  
  495961  -0.247  -0.422   0.489   0.416  
  495962  -0.245  -0.420   0.486   0.410  
  495963  -0.244  -0.416   0.482   0.408  
  495964  -0.240  -0.411   0.476   0.411  
  495965  -0.236  -0.411   0.474   0.407  
  495966  -0.234  -0.408   0.470   0.405  
  495967  -0.231  -0.408   0.469   0.400  
  495968  -0.225  -0.407   0.465   0.397  
  495969  -0.221  -0.404   0.461   0.397  
  495970  -0.221  -0.402   0.459   0.390  
  495971  -0.228  -0.391   0.453   0.425  
  495972  -0.221  -0.393   0.451   0.399  
  495973  -0.219  -0.392   0.449   0.397  
  495974  -0.219  -0.391   0.448   0.391  
  495975  -0.219  -0.386   0.444   0.394  
  495976  -0.218  -0.382   0.440   0.396  
  495977  -0.216  -0.383   0.440   0.391  
  495978  -0.215  -0.381   0.437   0.386  
  495979  -0.212  -0.381   0.436   0.375  
  495980  -0.207  -0.378   0.432   0.371  
  495981  -0.206  -0.375   0.428   0.366  
  495982  -0.207  -0.372   0.426   0.363  
  495983  -0.207  -0.365   0.420   0.367  
  495984  -0.207  -0.355   0.411   0.378  
  495985  -0.203  -0.357   0.411   0.360  
  495986  -0.203  -0.353   0.407   0.366  
  495987  -0.203  -0.351   0.406   0.365  
  495988  -0.197  -0.354   0.406   0.343  
  495989  -0.195  -0.353   0.404   0.339  
  495990  -0.195  -0.351   0.401   0.337  
  495991  -0.192  -0.348   0.397   0.336  
  495992  -0.192  -0.343   0.393   0.337  
  495993  -0.190  -0.340   0.390   0.336  
  495994  -0.188  -0.339   0.387   0.327  
  495995  -0.183  -0.343   0.388   0.302  
  495996  -0.183  -0.338   0.384   0.298  
  495997  -0.183  -0.333   0.380   0.297  
  495998  -0.181  -0.329   0.375   0.304  
  495999  -0.181  -0.318   0.366   0.317  
  496000  -0.181  -0.315   0.364   0.315  
  496001  -0.174  -0.314   0.359   0.299  
  496002  -0.173  -0.317   0.361   0.289  
  496003  -0.170  -0.311   0.355   0.284  
  496004  -0.170  -0.311   0.355   0.271  
  496005  -0.169  -0.309   0.352   0.266  
  496006  -0.167  -0.306   0.348   0.262  
  496007  -0.162  -0.308   0.348   0.243  
  496008  -0.161  -0.306   0.346   0.240  
  496009  -0.162  -0.302   0.342   0.238  
  496010  -0.164  -0.300   0.341   0.237  
  496011  -0.160  -0.299   0.339   0.231  
  496012  -0.161  -0.293   0.334   0.246  
  496013  -0.161  -0.294   0.336   0.239  
  496014  -0.161  -0.294   0.335   0.234  
  496015  -0.155  -0.300   0.337   0.205  
  496016  -0.156  -0.297   0.336   0.206  
  496017  -0.153  -0.297   0.335   0.201  
  496018  -0.154  -0.296   0.334   0.199  
  496019  -0.157  -0.294   0.333   0.200  
  496020  -0.157  -0.294   0.333   0.200  
  496021  -0.157  -0.294   0.333   0.188  
  496022  -0.158  -0.292   0.332   0.188  
  496023  -0.153  -0.299   0.336   0.165  
  496024  -0.155  -0.297   0.335   0.173  
  496025  -0.156  -0.293   0.332   0.173  
  496026  -0.154  -0.296   0.334   0.169  
  496027  -0.152  -0.300   0.336   0.154  
  496028  -0.154  -0.299   0.336   0.157  
  496029  -0.156  -0.300   0.338   0.153  
  496030  -0.156  -0.296   0.335   0.150  
  496031  -0.159  -0.293   0.334   0.148  
  496032  -0.160  -0.295   0.336   0.136  
  496033  -0.162  -0.297   0.339   0.125  
  496034  -0.165  -0.297   0.340   0.127  
  496035  -0.166  -0.299   0.342   0.120  
  496036  -0.166  -0.298   0.341   0.120  
  496037  -0.165  -0.295   0.338   0.117  
  496038  -0.163  -0.296   0.338   0.122  
  496039  -0.160  -0.299   0.340   0.110  
  496040  -0.159  -0.303   0.342   0.107  
  496041  -0.161  -0.300   0.340   0.107  
  496042  -0.162  -0.298   0.339   0.108  
  496043  -0.164  -0.299   0.341   0.110  
  496044  -0.159  -0.305   0.344   0.094  
  496045  -0.156  -0.305   0.343   0.078  
  496046  -0.157  -0.302   0.341   0.091  
  496047  -0.158  -0.306   0.344   0.082  
  496048  -0.157  -0.307   0.344   0.082  
  496049  -0.155  -0.305   0.342   0.077  
  496050  -0.152  -0.306   0.342   0.082  
