  Epoch    Dlat    DLon    DHoriz  Dheight 
  495991  -0.558   2.004   2.080  13.091  
  495992  -0.492   2.130   2.186  13.300  
  495993  -0.495   2.326   2.378  13.439  
  495994  -0.623   2.466   2.543  13.531  
  495995  -0.574   2.365   2.433  13.311  
  495996  -0.615   2.435   2.511  13.557  
  495997  -0.615   2.335   2.414  13.437  
  495998  -0.480   2.254   2.304  13.196  
  495999  -0.384   2.292   2.324  13.043  
  496000  -0.264   2.185   2.200  12.755  
  496001  -0.241   2.113   2.126  12.645  
  496002  -0.308   2.048   2.071  12.591  
  496003  -0.297   2.109   2.130  12.459  
  496004  -0.440   2.020   2.067  12.247  
  496005  -0.572   2.118   2.194  12.438  
  496006  -0.544   2.107   2.176  12.446  
  496007  -0.547   2.049   2.120  12.255  
  496008  -0.631   2.031   2.127  12.202  
  496009  -0.622   1.929   2.027  11.895  
  496010  -0.525   1.951   2.020  11.881  
  496011  -0.407   1.926   1.969  11.712  
  496012  -0.294   1.960   1.982  12.011  
  496013  -0.451   2.058   2.107  12.360  
  496014  -0.429   1.983   2.029  12.213  
  496015  -0.566   1.932   2.013  12.173  
  496016  -0.575   1.955   2.037  12.145  
  496017  -0.687   1.945   2.062  12.218  
  496018  -0.878   1.901   2.094  12.563  
  496019  -0.854   1.823   2.013  12.190  
  496020  -0.799   1.677   1.858  11.943  
  496021  -0.693   1.547   1.695  11.451  
  496022  -0.611   1.513   1.632  11.198  
  496023  -0.627   1.653   1.768  11.355  
  496024  -0.681   1.479   1.628  11.292  
  496025  -0.577   1.576   1.679  11.495  
  496026  -0.417   1.411   1.471  11.269  
  496027  -0.472   1.401   1.478  11.243  
  496028  -0.610   1.270   1.408  11.182  
  496029  -0.662   1.359   1.511  11.237  
  496030  -0.580   1.519   1.626  11.454  
  496031  -0.708   1.627   1.774  11.405  
  496032  -0.789   1.594   1.779  11.223  
  496033  -0.865   1.543   1.769  11.059  
  496034  -0.999   1.506   1.807  11.184  
  496035  -1.036   1.506   1.828  11.273  
  496036  -0.941   1.501   1.771  11.204  
  496037  -0.916   1.535   1.788  11.216  
  496038  -0.818   1.498   1.707  11.320  
  496039  -0.753   1.524   1.700  11.475  
  496040  -0.707   1.454   1.617  11.351  
  496041  -0.793   1.497   1.694  11.227  
  496042  -0.787   1.549   1.738  11.306  
  496043  -0.830   1.586   1.790  11.547  
  496044  -0.655   1.397   1.543  11.145  
  496045  -0.561   1.409   1.517  11.073  
  496046  -0.494   1.484   1.564  11.058  
  496047  -0.517   1.600   1.682  11.168  
  496048  -0.587   1.652   1.753  11.327  
  496049  -0.545   1.763   1.846  11.295  
  496050  -0.469   1.678   1.742  11.372  
  496051  -0.358   1.563   1.604  11.484  
  496052  -0.288   1.140   1.176  10.887  
  496053  -0.180   1.038   1.053  10.751  
  496054  -0.144   1.203   1.212  11.077  
  496055  -0.071   1.517   1.518  11.395  
  496056  -0.073   1.556   1.557  11.317  
  496057  -0.242   1.839   1.855  11.910  
  496058  -0.418   1.871   1.917  11.962  
  496059  -0.195   1.461   1.474  10.996  
  496060  -0.170   1.315   1.326  10.703  
  496061  -0.041   1.200   1.201  10.380  
  496062  -0.245   1.408   1.430  10.764  
  496063  -0.199   1.345   1.360  10.433  
  496064  -0.097   0.815   0.821   9.091  
  496065  -0.140   0.677   0.691   8.889  
  496066  -0.180   0.881   0.899   9.241  
  496067  -0.263   0.903   0.941   9.357  
  496068  -0.228   1.177   1.199   9.954  
  496069  -0.196   1.301   1.316  10.140  
  496070  -0.339   1.639   1.674  10.969  
  496071  -0.151   1.416   1.424  10.336  
  496072  -0.106   1.362   1.366  10.226  
  496073  -0.086   1.278   1.281  10.213  
  496074  -0.235   1.409   1.428  10.580  
  496075  -0.267   1.371   1.397  10.390  
  496076  -0.313   1.276   1.313  10.237  
  496077  -0.264   1.352   1.378  10.494  
  496078  -0.261   1.435   1.459  10.621  
  496079  -0.204   1.497   1.511  10.965  
  496080  -0.194   1.592   1.603  11.370  
  496081  -0.192   1.721   1.731  11.705  
  496082  -0.205   1.896   1.907  12.236  
  496083  -0.019   1.939   1.939  12.720  
  496084  -0.038   2.165   2.165  12.758  
  496085  -0.079   2.144   2.146  12.808  
  496086  -0.119   2.166   2.169  12.794  
  496087  -0.040   2.132   2.133  12.485  
  496088   0.076   2.187   2.188  12.537  
  496089  -0.034   2.141   2.141  12.325  
  496090  -0.252   2.134   2.148  12.682  
  496091  -0.499   2.172   2.228  12.645  
  496092  -0.485   2.190   2.243  12.564  
  496093  -0.398   1.853   1.895  12.066  
  496094  -0.526   1.723   1.802  11.639  
  496095  -0.514   1.701   1.777  11.567  
  496096  -0.440   1.649   1.707  11.271  
  496097  -0.444   1.923   1.974  11.670  
  496098  -0.529   2.010   2.079  12.246  
  496099  -0.401   2.109   2.147  12.743  
  496100  -0.273   2.025   2.043  12.845  
  496101  -0.218   2.212   2.222  12.992  
  496102  -0.364   2.185   2.215  12.854  
  496103  -0.368   2.310   2.339  12.937  
  496104  -0.473   2.024   2.079  12.375  
  496105  -0.614   2.018   2.110  12.612  
  496106  -0.683   2.057   2.167  12.721  
  496107  -0.577   1.833   1.922  12.348  
  496108  -0.576   1.756   1.848  12.144  
  496109  -0.754   1.949   2.089  12.786  
  496110  -0.895   2.178   2.354  13.520  
  496111  -0.732   2.352   2.463  13.721  
  496112  -0.668   2.380   2.472  13.753  
  496113  -0.777   2.445   2.566  13.795  
  496114  -0.827   2.449   2.585  13.962  
  496115  -0.980   2.494   2.680  13.864  
  496116  -1.069   2.330   2.564  13.493  
  496117  -1.150   2.467   2.722  13.685  
  496118  -1.162   2.298   2.575  13.115  
  496119  -1.105   2.301   2.552  13.097  
  496120  -1.141   2.259   2.531  13.228  
  496121  -1.015   2.278   2.494  13.072  
  496122  -0.857   2.030   2.203  12.291  
  496123  -0.845   2.004   2.175  12.361  
  496124  -0.773   2.119   2.256  12.499  
  496125  -0.637   2.046   2.143  12.042  
  496126  -0.502   2.104   2.163  11.964  
  496127  -0.654   2.146   2.244  12.359  
  496128  -0.664   2.186   2.285  12.444  
  496129  -0.851   2.342   2.492  12.740  
  496130  -1.098   2.496   2.727  13.433  
  496131  -1.132   2.510   2.754  13.601  
  496132  -0.905   2.320   2.490  13.150  
  496133  -0.847   2.385   2.531  13.488  
  496134  -0.772   2.417   2.537  13.499  
  496135  -0.625   2.130   2.220  12.839  
  496136  -0.638   2.093   2.188  12.705  
  496137  -0.358   1.964   1.997  12.128  
  496138  -0.313   2.124   2.147  12.689  
  496139  -0.356   2.245   2.273  13.114  
  496140  -0.459   2.058   2.108  12.964  
  496141  -0.588   1.935   2.023  12.766  
  496142  -0.485   1.575   1.648  11.723  
  496143  -0.580   1.677   1.775  11.575  
  496144  -0.638   1.786   1.896  11.687  
  496145  -0.506   1.637   1.713  11.102  
  496146  -0.461   1.738   1.798  11.314  
  496147  -0.349   1.698   1.734  10.980  
  496148  -0.308   1.753   1.780  10.989  
  496149  -0.235   1.767   1.782  11.115  
  496150  -0.257   1.735   1.754  11.124  
  496151  -0.262   1.736   1.756  11.505  
