  Epoch    Dlat    DLon    DHoriz  Dheight 
  495910   0.107  -0.493   0.504  -0.210  
  495911   0.109  -0.486   0.498  -0.210  
  495912   0.102  -0.493   0.504  -0.207  
  495913   0.122  -0.481   0.496  -0.226  
  495914   0.111  -0.494   0.506  -0.223  
  495915   0.110  -0.490   0.502  -0.229  
  495916   0.114  -0.493   0.506  -0.218  
  495917   0.108  -0.499   0.511  -0.209  
  495918   0.111  -0.499   0.511  -0.207  
  495919   0.129  -0.498   0.514  -0.247  
  495920   0.133  -0.497   0.514  -0.244  
  495921   0.133  -0.493   0.510  -0.252  
  495922   0.133  -0.494   0.512  -0.250  
  495923   0.133  -0.497   0.514  -0.241  
  495924   0.127  -0.501   0.516  -0.245  
  495925   0.130  -0.500   0.517  -0.242  
  495926   0.131  -0.506   0.522  -0.244  
  495927   0.132  -0.505   0.522  -0.243  
  495928   0.132  -0.505   0.522  -0.240  
  495929   0.136  -0.504   0.522  -0.259  
  495930   0.134  -0.499   0.516  -0.260  
  495931   0.128  -0.499   0.516  -0.265  
  495932   0.135  -0.501   0.519  -0.282  
  495933   0.140  -0.509   0.528  -0.291  
  495934   0.130  -0.509   0.525  -0.282  
  495935   0.136  -0.509   0.527  -0.275  
  495936   0.141  -0.504   0.523  -0.286  
  495937   0.130  -0.505   0.522  -0.286  
  495938   0.149  -0.510   0.531  -0.305  
  495939   0.125  -0.507   0.523  -0.280  
  495940   0.131  -0.505   0.522  -0.290  
  495941   0.134  -0.512   0.529  -0.280  
  495942   0.140  -0.513   0.532  -0.288  
  495943   0.144  -0.513   0.533  -0.301  
  495944   0.140  -0.508   0.527  -0.295  
  495945   0.135  -0.503   0.521  -0.285  
  495946   0.141  -0.515   0.533  -0.295  
  495947   0.129  -0.512   0.528  -0.290  
  495948   0.137  -0.509   0.527  -0.299  
  495949   0.136  -0.514   0.532  -0.301  
  495950   0.134  -0.512   0.529  -0.299  
  495951   0.131  -0.519   0.535  -0.297  
  495952   0.129  -0.512   0.528  -0.288  
  495953   0.139  -0.516   0.535  -0.287  
  495954   0.138  -0.513   0.531  -0.295  
  495955   0.136  -0.517   0.535  -0.295  
  495956   0.134  -0.512   0.529  -0.303  
  495957   0.138  -0.516   0.534  -0.307  
  495958   0.141  -0.511   0.530  -0.305  
  495959   0.141  -0.511   0.530  -0.303  
  495960   0.137  -0.511   0.529  -0.313  
  495961   0.137  -0.513   0.531  -0.303  
