Epoch   Baseline_Difference(m)   e_(m)
  498443           0.978           0.110
  498444           0.983           0.115
  498445           0.981           0.113
  498446           0.984           0.116
  498447           0.980           0.112
  498448           0.988           0.120
  498449           0.988           0.120
  498450           0.994           0.126
  498451           0.992           0.124
  498452           0.992           0.124
  498453           0.987           0.119
  498454           0.988           0.120
  498455           0.987           0.119
  498456           0.986           0.118
  498457           0.991           0.123
  498458           0.991           0.123
  498459           0.988           0.120
  498460           0.988           0.120
  498461           0.986           0.118
  498462           0.986           0.118
  498463           0.990           0.122
  498464           0.984           0.116
  498465           0.980           0.112
  498466           0.983           0.115
  498467           0.982           0.114
  498468           0.984           0.116
  498469           0.979           0.111
  498470           0.980           0.112
  498471           0.988           0.120
  498472           0.985           0.117
  498473           0.975           0.107
  498474           0.979           0.111
  498475           0.978           0.110
  498476           0.980           0.112
  498477           0.986           0.118
  498478           0.980           0.112
  498479           0.981           0.113
  498480           0.954           0.086
  498481           0.930           0.062
  498482           0.933           0.065
  498483           0.946           0.078
  498484           0.963           0.095
  498485           0.960           0.092
  498486           0.930           0.062
  498487           0.900           0.032
  498488           0.909           0.041
  498489           0.943           0.075
  498490           0.963           0.095
  498491           0.956           0.088
  498492           0.929           0.061
  498493           0.902           0.034
  498494           0.917           0.049
  498495           0.935           0.067
  498496           0.953           0.085
  498497           0.942           0.074
  498498           0.914           0.046
  498499           0.887           0.019
  498500           0.900           0.032
  498501           0.924           0.056
  498502           0.935           0.067
  498503           0.928           0.060
  498504           0.919           0.051
  498505           0.910           0.042
  498506           0.902           0.034
  498507           0.905           0.037
  498508           0.915           0.047
  498509           0.917           0.049
  498510           0.919           0.051
  498511           0.922           0.054
  498512           0.922           0.054
  498513           0.921           0.053
  498514           0.922           0.054
  498515           0.925           0.057
  498516           0.926           0.058
  498517           0.929           0.061
  498518           0.930           0.062
  498519           0.929           0.061
  498520           0.930           0.062
  498521           0.931           0.063
  498522           0.937           0.069
  498523           0.943           0.075
  498524           0.945           0.077
  498525           0.948           0.080
  498526           0.949           0.081
  498527           0.947           0.079
  498528           0.944           0.076
  498529           0.945           0.077
  498530           0.945           0.077
  498531           0.943           0.075
  498532           0.937           0.069
  498533           0.939           0.071
  498534           0.940           0.072
  498535           0.941           0.073
  498536           0.942           0.074
  498537           0.941           0.073
  498538           0.944           0.076
  498539           0.945           0.077
  498540           0.940           0.072
  498541           0.944           0.076
  498542           0.947           0.079
  498543           0.962           0.094
  498544           0.979           0.111
  498545           0.981           0.113
  498546           0.960           0.092
  498547           0.951           0.083
  498548           0.957           0.089
  498549           0.965           0.097
  498550           0.973           0.105
  498551           0.975           0.107
  498552           0.973           0.105
  498553           0.961           0.093
  498554           0.957           0.089
  498555           0.960           0.092
  498556           0.966           0.098
  498557           0.970           0.102
  498558           0.970           0.102
  498559           0.967           0.099
  498560           0.972           0.104
  498561           0.971           0.103
  498562           0.970           0.102
  498563           0.970           0.102
  498564           0.978           0.110
  498565           0.984           0.116
  498566           0.977           0.109
  498567           0.980           0.112
  498568           0.982           0.114
  498569           0.987           0.119
  498570           0.981           0.113
  498571           0.975           0.107
  498572           0.980           0.112
  498573           0.987           0.119
  498574           0.985           0.117
  498575           0.982           0.114
  498576           0.989           0.121
  498577           0.991           0.123
  498578           0.992           0.124
  498579           0.985           0.117
  498580           0.986           0.118
  498581           0.982           0.114
  498582           0.979           0.111
  498583           0.991           0.123
  498584           0.992           0.124
  498585           0.988           0.120
  498586           0.986           0.118
  498587           0.986           0.118
  498588           0.987           0.119
  498589           0.983           0.115
  498590           0.990           0.122
  498591           0.991           0.123
  498592           0.987           0.119
  498593           0.981           0.113
  498594           0.979           0.111
  498595           0.983           0.115
  498596           0.978           0.110
  498597           0.968           0.100
  498598           0.972           0.104
  498599           0.976           0.108
  498600           0.979           0.111
  498601           0.973           0.105
  498602           0.973           0.105
  498603           0.970           0.102
  498604           0.972           0.104
  498605           0.975           0.107
  498606           0.981           0.113
  498607           0.930           0.062
  498608           0.906           0.038
  498609           0.925           0.057
  498610           0.946           0.078
  498611           0.958           0.090
  498612           0.943           0.075
  498613           0.902           0.034
  498614           0.878           0.010
  498615           0.886           0.018
  498616           0.917           0.049
  498617           0.943           0.075
  498618           0.963           0.095
  498619           0.946           0.078
  498620           0.933           0.065
  498621           0.928           0.060
  498622           0.924           0.056
  498623           0.923           0.055
  498624           0.933           0.065
  498625           0.940           0.072
  498626           0.936           0.068
  498627           0.928           0.060
  498628           0.920           0.052
  498629           0.914           0.046
  498630           0.916           0.048
  498631           0.925           0.057
  498632           0.933           0.065
  498633           0.934           0.066
  498634           0.940           0.072
  498635           0.942           0.074
  498636           0.927           0.059
  498637           0.921           0.053
  498638           0.921           0.053
  498639           0.922           0.054
  498640           0.924           0.056
  498641           0.928           0.060
  498642           0.931           0.063
  498643           0.933           0.065
  498644           0.928           0.060
  498645           0.926           0.058
  498646           0.926           0.058
  498647           0.926           0.058
  498648           0.924           0.056
  498649           0.925           0.057
  498650           0.927           0.059
  498651           0.921           0.053
  498652           0.920           0.052
  498653           0.930           0.062
  498654           0.924           0.056
  498655           0.920           0.052
  498656           0.926           0.058
  498657           0.924           0.056
  498658           0.918           0.050
  498659           0.924           0.056
  498660           0.930           0.062
  498661           0.923           0.055
  498662           0.921           0.053
  498663           0.930           0.062
  498664           0.957           0.089
  498665           0.975           0.107
  498666           0.973           0.105
  498667           0.955           0.087
  498668           0.937           0.069
  498669           0.943           0.075
  498670           0.956           0.088
  498671           0.977           0.109
  498672           0.982           0.114
  498673           0.973           0.105
  498674           0.956           0.088
  498675           0.940           0.072
  498676           0.948           0.080
  498677           0.965           0.097
  498678           0.970           0.102
  498679           0.969           0.101
  498680           0.965           0.097
  498681           0.962           0.094
  498682           0.962           0.094
  498683           0.961           0.093
  498684           0.957           0.089
  498685           0.959           0.091
  498686           0.963           0.095
  498687           0.971           0.103
  498688           0.967           0.099
  498689           0.970           0.102
  498690           0.968           0.100
  498691           0.967           0.099
  498692           0.966           0.098
  498693           0.967           0.099
  498694           0.966           0.098
  498695           0.953           0.085
  498696           0.914           0.046
  498697           0.900           0.032
  498698           0.920           0.052
  498699           0.942           0.074
  498700           0.946           0.078
  498701           0.934           0.066
  498702           0.902           0.034
  498703           0.886           0.018
  498704           0.912           0.044
  498705           0.935           0.067
  498706           0.948           0.080
  498707           0.943           0.075
  498708           0.936           0.068
  498709           0.925           0.057
  498710           0.919           0.051
  498711           0.923           0.055
  498712           0.925           0.057
  498713           0.931           0.063
  498714           0.934           0.066
  498715           0.938           0.070
  498716           0.937           0.069
  498717           0.937           0.069
  498718           0.933           0.065
  498719           0.930           0.062
  498720           0.928           0.060
  498721           0.930           0.062
  498722           0.931           0.063
  498723           0.937           0.069
  498724           0.941           0.073
  498725           0.948           0.080
  498726           0.947           0.079
  498727           0.948           0.080
  498728           0.953           0.085
  498729           0.954           0.086
  498730           0.949           0.081
  498731           0.946           0.078
  498732           0.946           0.078
  498733           0.947           0.079
  498734           0.947           0.079
  498735           0.949           0.081
  498736           0.951           0.083
  498737           0.945           0.077
  498738           0.946           0.078
  498739           0.949           0.081
  498740           0.946           0.078
  498741           0.946           0.078
  498742           0.949           0.081
  498743           0.945           0.077
  498744           0.946           0.078
  498745           0.947           0.079
  498746           0.964           0.096
  498747           0.979           0.111
  498748           0.977           0.109
  498749           0.964           0.096
  498750           0.947           0.079
  498751           0.944           0.076
  498752           0.955           0.087
  498753           0.961           0.093
  498754           0.973           0.105
  498755           0.971           0.103
  498756           0.951           0.083
  498757           0.940           0.072
  498758           0.942           0.074
  498759           0.952           0.084
  498760           0.956           0.088
  498761           0.965           0.097
  498762           0.962           0.094
  498763           0.958           0.090
  498764           0.958           0.090
  498765           0.960           0.092
  498766           0.954           0.086
  498767           0.957           0.089
  498768           0.958           0.090
  498769           0.957           0.089
  498770           0.956           0.088
  498771           0.956           0.088
  498772           0.954           0.086
  498773           0.952           0.084
  498774           0.954           0.086
  498775           0.960           0.092
  498776           0.958           0.090
  498777           0.955           0.087
  498778           0.901           0.033
  498779           0.868           0.000
  498780           0.893           0.025
  498781           0.923           0.055
  498782           0.931           0.063
  498783           0.913           0.045
  498784           0.873           0.005
  498785           0.859          -0.009
  498786           0.872           0.004
  498787           0.905           0.037
  498788           0.931           0.063
  498789           0.946           0.078
  498790           0.936           0.068
  498791           0.925           0.057
  498792           0.914           0.046
  498793           0.913           0.045
  498794           0.919           0.051
  498795           0.923           0.055
  498796           0.924           0.056
  498797           0.923           0.055
  498798           0.921           0.053
  498799           0.911           0.043
  498800           0.911           0.043
  498801           0.916           0.048
  498802           0.920           0.052
  498803           0.927           0.059
  498804           0.934           0.066
  498805           0.940           0.072
  498806           0.940           0.072
  498807           0.936           0.068
  498808           0.928           0.060
  498809           0.928           0.060
  498810           0.929           0.061
  498811           0.929           0.061
  498812           0.930           0.062
  498813           0.931           0.063
  498814           0.934           0.066
  498815           0.932           0.064
  498816           0.933           0.065
  498817           0.935           0.067
  498818           0.931           0.063
  498819           0.934           0.066
  498820           0.932           0.064
  498821           0.934           0.066
  498822           0.931           0.063
  498823           0.932           0.064
  498824           0.937           0.069
  498825           0.950           0.082
  498826           0.965           0.097
  498827           0.956           0.088
  498828           0.945           0.077
  498829           0.936           0.068
  498830           0.935           0.067
  498831           0.949           0.081
  498832           0.963           0.095
  498833           0.968           0.100
  498834           0.966           0.098
  498835           0.960           0.092
  498836           0.956           0.088
  498837           0.952           0.084
  498838           0.954           0.086
  498839           0.955           0.087
  498840           0.963           0.095
  498841           0.968           0.100
  498842           0.968           0.100
  498843           0.960           0.092
  498844           0.961           0.093
  498845           0.958           0.090
  498846           0.959           0.091
  498847           0.963           0.095
  498848           0.968           0.100
  498849           0.965           0.097
  498850           0.958           0.090
  498851           0.960           0.092
  498852           0.957           0.089
  498853           0.956           0.088
  498854           0.959           0.091
  498855           0.965           0.097
  498856           0.969           0.101
  498857           0.963           0.095
  498858           0.965           0.097
  498859           0.967           0.099
  498860           0.966           0.098
  498861           0.952           0.084
  498862           0.942           0.074
  498863           0.940           0.072
  498864           0.945           0.077
  498865           0.955           0.087
  498866           0.963           0.095
  498867           0.962           0.094
  498868           0.951           0.083
  498869           0.931           0.063
  498870           0.926           0.058
  498871           0.928           0.060
  498872           0.936           0.068
  498873           0.944           0.076
  498874           0.945           0.077
  498875           0.947           0.079
  498876           0.942           0.074
  498877           0.940           0.072
  498878           0.935           0.067
  498879           0.935           0.067
  498880           0.934           0.066
  498881           0.939           0.071
  498882           0.938           0.070
  498883           0.937           0.069
  498884           0.939           0.071
  498885           0.939           0.071
  498886           0.940           0.072
  498887           0.936           0.068
  498888           0.936           0.068
  498889           0.920           0.052
  498890           0.901           0.033
  498891           0.894           0.026
  498892           0.904           0.036
  498893           0.920           0.052
  498894           0.926           0.058
  498895           0.917           0.049
  498896           0.896           0.028
  498897           0.875           0.007
  498898           0.873           0.005
  498899           0.886           0.018
  498900           0.900           0.032
  498901           0.901           0.033
  498902           0.898           0.030
  498903           0.890           0.022
  498904           0.886           0.018
  498905           0.887           0.019
  498906           0.884           0.016
  498907           0.888           0.020
  498908           0.886           0.018
  498909           0.887           0.019
  498910           0.889           0.021
  498911           0.888           0.020
  498912           0.887           0.019
  498913           0.888           0.020
  498914           0.882           0.014
  498915           0.882           0.014
  498916           0.882           0.014
  498917           0.889           0.021
  498918           0.891           0.023
  498919           0.893           0.025
  498920           0.893           0.025
  498921           0.895           0.027
  498922           0.894           0.026
  498923           0.890           0.022
  498924           0.891           0.023
  498925           0.894           0.026
  498926           0.901           0.033
  498927           0.910           0.042
  498928           0.914           0.046
  498929           0.922           0.054
  498930           0.924           0.056
  498931           0.923           0.055
  498932           0.921           0.053
  498933           0.916           0.048
  498934           0.909           0.041
  498935           0.904           0.036
  498936           0.903           0.035
  498937           0.902           0.034
  498938           0.906           0.038
  498939           0.910           0.042
  498940           0.914           0.046
  498941           0.916           0.048
  498942           0.913           0.045
  498943           0.914           0.046
  498944           0.914           0.046
  498945           0.915           0.047
  498946           0.915           0.047
  498947           0.918           0.050
  498948           0.920           0.052
  498949           0.920           0.052
  498950           0.918           0.050
  498951           0.917           0.049
  498952           0.922           0.054
  498953           0.921           0.053
  498954           0.923           0.055
  498955           0.922           0.054
  498956           0.923           0.055
  498957           0.921           0.053
  498958           0.923           0.055
  498959           0.923           0.055
  498960           0.924           0.056
  498961           0.922           0.054
  498962           0.928           0.060
  498963           0.929           0.061
  498964           0.925           0.057
  498965           0.932           0.064
  498966           0.930           0.062
  498967           0.927           0.059
  498968           0.931           0.063
  498969           0.936           0.068
  498970           0.941           0.073
  498971           0.947           0.079
  498972           0.945           0.077
  498973           0.945           0.077
  498974           0.944           0.076
  498975           0.941           0.073
  498976           0.941           0.073
  498977           0.941           0.073
  498978           0.941           0.073
  498979           0.946           0.078
  498980           0.940           0.072
  498981           0.944           0.076
  498982           0.945           0.077
  498983           0.948           0.080
  498984           0.948           0.080
  498985           0.949           0.081
  498986           0.944           0.076
  498987           0.941           0.073
  498988           0.942           0.074
  498989           0.943           0.075
  498990           0.946           0.078
  498991           0.948           0.080
  498992           0.952           0.084
  498993           0.957           0.089
  498994           0.964           0.096
  498995           0.970           0.102
  498996           0.961           0.093
  498997           0.958           0.090
  498998           0.956           0.088
  498999           0.949           0.081
  499000           0.946           0.078
  499001           0.943           0.075
  499002           0.944           0.076
  499003           0.949           0.081
  499004           0.948           0.080
  499005           0.951           0.083
  499006           0.952           0.084
  499007           0.953           0.085
  499008           0.947           0.079
  499009           0.951           0.083
  499010           0.950           0.082
  499011           0.941           0.073
  499012           0.942           0.074
  499013           0.947           0.079
  499014           0.946           0.078
  499015           0.948           0.080
  499016           0.920           0.052
  499017           0.905           0.037
  499018           0.904           0.036
  499019           0.914           0.046
  499020           0.922           0.054
  499021           0.926           0.058
  499022           0.915           0.047
  499023           0.895           0.027
  499024           0.878           0.010
  499025           0.882           0.014
  499026           0.895           0.027
  499027           0.908           0.040
  499028           0.912           0.044
  499029           0.909           0.041
  499030           0.896           0.028
  499031           0.881           0.013
  499032           0.877           0.009
  499033           0.882           0.014
  499034           0.892           0.024
  499035           0.893           0.025
  499036           0.889           0.021
  499037           0.884           0.016
  499038           0.880           0.012
  499039           0.879           0.011
  499040           0.877           0.009
  499041           0.884           0.016
  499042           0.884           0.016
  499043           0.880           0.012
  499044           0.884           0.016
  499045           0.883           0.015
  499046           0.883           0.015
  499047           0.895           0.027
  499048           0.912           0.044
  499049           0.913           0.045
  499050           0.917           0.049
  499051           0.913           0.045
  499052           0.903           0.035
  499053           0.898           0.030
  499054           0.901           0.033
  499055           0.909           0.041
  499056           0.919           0.051
  499057           0.923           0.055
  499058           0.925           0.057
  499059           0.926           0.058
  499060           0.924           0.056
  499061           0.924           0.056
  499062           0.925           0.057
  499063           0.924           0.056
  499064           0.921           0.053
  499065           0.916           0.048
  499066           0.916           0.048
  499067           0.919           0.051
  499068           0.921           0.053
  499069           0.917           0.049
  499070           0.919           0.051
  499071           0.921           0.053
  499072           0.926           0.058
  499073           0.929           0.061
  499074           0.933           0.065
  499075           0.934           0.066
  499076           0.936           0.068
  499077           0.937           0.069
  499078           0.933           0.065
  499079           0.930           0.062
  499080           0.928           0.060
  499081           0.928           0.060
  499082           0.928           0.060
  499083           0.929           0.061
  499084           0.927           0.059
  499085           0.927           0.059
  499086           0.934           0.066
  499087           0.933           0.065
  499088           0.932           0.064
  499089           0.937           0.069
  499090           0.937           0.069
  499091           0.935           0.067
  499092           0.930           0.062
  499093           0.928           0.060
  499094           0.932           0.064
  499095           0.937           0.069
  499096           0.949           0.081
  499097           0.955           0.087
  499098           0.962           0.094
  499099           0.962           0.094
  499100           0.952           0.084
  499101           0.943           0.075
  499102           0.938           0.070
  499103           0.943           0.075
  499104           0.949           0.081
  499105           0.955           0.087
  499106           0.955           0.087
  499107           0.953           0.085
  499108           0.948           0.080
  499109           0.959           0.091
  499110           0.952           0.084
  499111           0.949           0.081
  499112           0.943           0.075
  499113           0.924           0.056
  499114           0.919           0.051
  499115           0.922           0.054
  499116           0.933           0.065
  499117           0.946           0.078
  499118           0.946           0.078
  499119           0.940           0.072
  499120           0.933           0.065
  499121           0.922           0.054
  499122           0.923           0.055
  499123           0.929           0.061
  499124           0.932           0.064
  499125           0.933           0.065
  499126           0.940           0.072
  499127           0.936           0.068
  499128           0.935           0.067
  499129           0.930           0.062
  499130           0.933           0.065
  499131           0.932           0.064
  499132           0.935           0.067
  499133           0.935           0.067
  499134           0.932           0.064
  499135           0.929           0.061
  499136           0.923           0.055
  499137           0.916           0.048
  499138           0.922           0.054
  499139           0.919           0.051
  499140           0.918           0.050
  499141           0.915           0.047
  499142           0.917           0.049
  499143           0.921           0.053
  499144           0.922           0.054
  499145           0.928           0.060
  499146           0.929           0.061
  499147           0.933           0.065
  499148           0.933           0.065
  499149           0.938           0.070
  499150           0.933           0.065
  499151           0.940           0.072
  499152           0.934           0.066
  499153           0.933           0.065
  499154           0.932           0.064
  499155           0.926           0.058
  499156           0.922           0.054
  499157           0.925           0.057
  499158           0.926           0.058
  499159           0.921           0.053
  499160           0.924           0.056
  499161           0.925           0.057
  499162           0.929           0.061
  499163           0.926           0.058
  499164           0.927           0.059
  499165           0.928           0.060
  499166           0.930           0.062
  499167           0.930           0.062
  499168           0.923           0.055
  499169           0.924           0.056
  499170           0.925           0.057
  499171           0.927           0.059
  499172           0.933           0.065
  499173           0.933           0.065
  499174           0.930           0.062
  499175           0.928           0.060
  499176           0.927           0.059
  499177           0.935           0.067
  499178           0.938           0.070
  499179           0.945           0.077
  499180           0.948           0.080
  499181           0.949           0.081
  499182           0.941           0.073
  499183           0.935           0.067
  499184           0.938           0.070
  499185           0.935           0.067
  499186           0.934           0.066
  499187           0.937           0.069
  499188           0.942           0.074
  499189           0.952           0.084
  499190           0.949           0.081
  499191           0.943           0.075
  499192           0.941           0.073
  499193           0.948           0.080
  499194           0.954           0.086
  499195           0.954           0.086
  499196           0.949           0.081
  499197           0.950           0.082
  499198           0.947           0.079
  499199           0.951           0.083
  499200           0.953           0.085
  499201           0.949           0.081
  499202           0.957           0.089
  499203           0.953           0.085
  499204           0.951           0.083
  499205           0.949           0.081
  499206           0.947           0.079
  499207           0.950           0.082
  499208           0.952           0.084
  499209           0.951           0.083
  499210           0.948           0.080
  499211           0.951           0.083
  499212           0.952           0.084
  499213           0.949           0.081
  499214           0.959           0.091
  499215           0.898           0.030
  499216           0.791          -0.077
  499217           0.781          -0.087
  499218           0.798          -0.070
  499219           0.829          -0.039
  499220           0.855          -0.013
  499221           0.853          -0.015
  499222           0.823          -0.045
  499223           0.791          -0.077
  499224           0.778          -0.090
  499225           0.777          -0.091
  499226           0.780          -0.088
  499227           0.793          -0.075
  499228           0.822          -0.046
  499229           0.866          -0.002
  499230           0.870           0.002
  499231           0.844          -0.024
  499232           0.827          -0.041
  499233           0.823          -0.045
  499234           0.819          -0.049
  499235           0.818          -0.050
  499236           0.819          -0.049
  499237           0.815          -0.053
  499238           0.819          -0.049
  499239           0.820          -0.048
  499240           0.823          -0.045
  499241           0.827          -0.041
  499242           0.826          -0.042
  499243           0.824          -0.044
  499244           0.823          -0.045
  499245           0.820          -0.048
  499246           0.823          -0.045
  499247           0.824          -0.044
  499248           0.819          -0.049
  499249           0.822          -0.046
  499250           0.846          -0.022
  499251           0.874           0.006
  499252           0.883           0.015
  499253           0.883           0.015
  499254           0.872           0.004
  499255           0.868           0.000
  499256           0.874           0.006
  499257           0.874           0.006
  499258           0.875           0.007
  499259           0.874           0.006
  499260           0.881           0.013
  499261           0.876           0.008
  499262           0.878           0.010
  499263           0.877           0.009
  499264           0.878           0.010
  499265           0.872           0.004
  499266           0.878           0.010
  499267           0.874           0.006
  499268           0.874           0.006
  499269           0.877           0.009
  499270           0.880           0.012
  499271           0.869           0.001
  499272           0.875           0.007
  499273           0.876           0.008
  499274           0.877           0.009
  499275           0.867          -0.001
  499276           0.877           0.009
  499277           0.876           0.008
  499278           0.875           0.007
  499279           0.866          -0.002
  499280           0.824          -0.044
  499281           0.790          -0.078
  499282           0.793          -0.075
  499283           0.805          -0.063
  499284           0.810          -0.058
  499285           0.816          -0.052
  499286           0.808          -0.060
  499287           0.801          -0.067
  499288           0.802          -0.066
  499289           0.799          -0.069
  499290           0.805          -0.063
  499291           0.802          -0.066
  499292           0.801          -0.067
  499293           0.804          -0.064
  499294           0.801          -0.067
  499295           0.806          -0.062
  499296           0.806          -0.062
  499297           0.805          -0.063
  499298           0.811          -0.057
  499299           0.805          -0.063
  499300           0.806          -0.062
  499301           0.807          -0.061
  499302           0.798          -0.070
  499303           0.810          -0.058
  499304           0.807          -0.061
  499305           0.796          -0.072
  499306           0.805          -0.063
  499307           0.809          -0.059
  499308           0.800          -0.068
  499309           0.807          -0.061
  499310           0.804          -0.064
  499311           0.798          -0.070
  499312           0.811          -0.057
  499313           0.809          -0.059
  499314           0.796          -0.072
  499315           0.809          -0.059
  499316           0.806          -0.062
  499317           0.786          -0.082
  499318           0.810          -0.058
  499319           0.810          -0.058
  499320           0.789          -0.079
  499321           0.803          -0.065
  499322           0.810          -0.058
  499323           0.790          -0.078
  499324           0.820          -0.048
  499325           0.889           0.021
  499326           0.884           0.016
  499327           0.868           0.000
  499328           0.876           0.008
  499329           0.867          -0.001
  499330           0.849          -0.019
  499331           0.875           0.007
  499332           0.885           0.017
  499333           0.857          -0.011
  499334           0.868          -0.000
  499335           0.880           0.012
  499336           0.865          -0.003
  499337           0.843          -0.025
  499338           0.879           0.011
  499339           0.881           0.013
  499340           0.850          -0.018
  499341           0.852          -0.016
  499342           0.879           0.011
  499343           0.876           0.008
  499344           0.848          -0.020
  499345           0.858          -0.010
  499346           0.870           0.002
  499347           0.817          -0.051
  499348           0.781          -0.087
  499349           0.781          -0.087
  499350           0.791          -0.077
  499351           0.791          -0.077
  499352           0.801          -0.067
  499353           0.804          -0.064
  499354           0.797          -0.071
  499355           0.795          -0.073
  499356           0.800          -0.068
  499357           0.794          -0.074
  499358           0.790          -0.078
  499359           0.789          -0.079
  499360           0.792          -0.076
  499361           0.801          -0.067
  499362           0.801          -0.067
  499363           0.806          -0.062
  499364           0.804          -0.064
  499365           0.806          -0.062
  499366           0.803          -0.065
  499367           0.799          -0.069
  499368           0.798          -0.070
  499369           0.804          -0.064
  499370           0.806          -0.062
  499371           0.804          -0.064
  499372           0.807          -0.061
  499373           0.802          -0.066
  499374           0.809          -0.059
  499375           0.807          -0.061
  499376           0.803          -0.065
  499377           0.806          -0.062
  499378           0.806          -0.062
  499379           0.806          -0.062
  499380           0.807          -0.061
  499381           0.822          -0.046
  499382           0.825          -0.043
  499383           0.838          -0.030
  499384           0.842          -0.026
  499385           0.837          -0.031
  499386           0.830          -0.038
  499387           0.830          -0.038
  499388           0.828          -0.040
  499389           0.829          -0.039
  499390           0.830          -0.038
  499391           0.832          -0.036
  499392           0.829          -0.039
  499393           0.828          -0.040
  499394           0.830          -0.038
  499395           0.831          -0.037
  499396           0.827          -0.041
  499397           0.826          -0.042
  499398           0.829          -0.039
  499399           0.832          -0.036
  499400           0.839          -0.029
  499401           0.843          -0.025
  499402           0.846          -0.022
  499403           0.844          -0.024
  499404           0.843          -0.025
  499405           0.843          -0.025
  499406           0.843          -0.025
  499407           0.843          -0.025
  499408           0.841          -0.027
  499409           0.843          -0.025
  499410           0.844          -0.024
  499411           0.843          -0.025
  499412           0.844          -0.024
  499413           0.847          -0.021
  499414           0.844          -0.024
  499415           0.839          -0.029
  499416           0.841          -0.027
  499417           0.843          -0.025
  499418           0.842          -0.026
  499419           0.842          -0.026
  499420           0.842          -0.026
  499421           0.845          -0.023
  499422           0.843          -0.025
  499423           0.836          -0.032
  499424           0.834          -0.034
  499425           0.831          -0.037
  499426           0.830          -0.038
  499427           0.828          -0.040
  499428           0.831          -0.037
  499429           0.834          -0.034
  499430           0.833          -0.035
  499431           0.835          -0.033
  499432           0.834          -0.034
  499433           0.835          -0.033
  499434           0.834          -0.034
  499435           0.833          -0.035
  499436           0.837          -0.031
  499437           0.833          -0.035
  499438           0.831          -0.037
  499439           0.828          -0.040
  499440           0.823          -0.045
  499441           0.822          -0.046
  499442           0.821          -0.047
  499443           0.817          -0.051
  499444           0.821          -0.047
  499445           0.817          -0.051
  499446           0.818          -0.050
  499447           0.820          -0.048
  499448           0.818          -0.050
  499449           0.818          -0.050
  499450           0.820          -0.048
  499451           0.816          -0.052
  499452           0.821          -0.047
  499453           0.819          -0.049
  499454           0.819          -0.049
  499455           0.816          -0.052
  499456           0.820          -0.048
  499457           0.814          -0.054
  499458           0.815          -0.053
  499459           0.819          -0.049
  499460           0.814          -0.054
  499461           0.814          -0.054
  499462           0.816          -0.052
  499463           0.816          -0.052
  499464           0.816          -0.052
  499465           0.815          -0.053
  499466           0.815          -0.053
  499467           0.816          -0.052
  499468           0.819          -0.049
  499469           0.817          -0.051
  499470           0.817          -0.051
  499471           0.817          -0.051
  499472           0.815          -0.053
  499473           0.818          -0.050
  499474           0.819          -0.049
  499475           0.818          -0.050
  499476           0.818          -0.050
  499477           0.820          -0.048
  499478           0.818          -0.050
  499479           0.819          -0.049
  499480           0.816          -0.052
  499481           0.814          -0.054
  499482           0.817          -0.051
  499483           0.812          -0.056
  499484           0.812          -0.056
  499485           0.812          -0.056
  499486           0.812          -0.056
  499487           0.811          -0.057
  499488           0.814          -0.054
  499489           0.812          -0.056
  499490           0.811          -0.057
  499491           0.811          -0.057
  499492           0.813          -0.055
  499493           0.813          -0.055
  499494           0.811          -0.057
  499495           0.807          -0.061
  499496           0.813          -0.055
  499497           0.811          -0.057
  499498           0.810          -0.058
  499499           0.816          -0.052
  499500           0.817          -0.051
  499501           0.811          -0.057
  499502           0.809          -0.059
  499503           0.812          -0.056
  499504           0.808          -0.060
  499505           0.807          -0.061
  499506           0.805          -0.063
  499507           0.810          -0.058
  499508           0.811          -0.057
  499509           0.810          -0.058
  499510           0.810          -0.058
  499511           0.812          -0.056
  499512           0.808          -0.060
  499513           0.808          -0.060
  499514           0.810          -0.058
