Epoch   Baseline_Difference(m)   e_(m)
  496317           1.113           0.245
  496318           1.112           0.244
  496319           1.111           0.243
  496320           1.111           0.243
  496321           1.107           0.239
  496322           1.104           0.236
  496323           1.109           0.241
  496324           1.111           0.243
  496325           1.112           0.244
  496326           1.112           0.244
  496327           1.115           0.247
  496328           1.115           0.247
  496329           1.114           0.246
  496330           1.114           0.246
  496331           1.120           0.252
  496332           1.119           0.251
  496333           1.114           0.246
  496334           1.112           0.244
  496335           1.111           0.243
  496336           1.109           0.241
  496337           1.105           0.237
  496338           1.102           0.234
  496339           1.103           0.235
  496340           1.101           0.233
  496341           1.102           0.234
  496342           1.103           0.235
  496343           1.103           0.235
  496344           1.102           0.234
  496345           1.104           0.236
  496346           1.104           0.236
  496347           1.101           0.233
  496348           1.103           0.235
  496349           1.105           0.237
  496350           1.107           0.239
  496351           1.107           0.239
  496352           1.106           0.238
  496353           1.105           0.237
  496354           1.104           0.236
  496355           1.104           0.236
  496356           1.103           0.235
  496357           1.102           0.234
  496358           1.101           0.233
  496359           1.103           0.235
  496360           1.103           0.235
  496361           1.104           0.236
  496362           1.109           0.241
  496363           1.108           0.240
  496364           1.110           0.242
  496365           1.109           0.241
  496366           1.106           0.238
  496367           1.108           0.240
  496368           1.107           0.239
  496369           1.105           0.237
  496370           1.105           0.237
  496371           1.109           0.241
  496372           1.107           0.239
  496373           1.109           0.241
  496374           1.107           0.239
  496375           1.108           0.240
  496376           1.111           0.243
  496377           1.114           0.246
  496378           1.112           0.244
  496379           1.111           0.243
  496380           1.110           0.242
  496381           1.112           0.244
  496382           1.106           0.238
  496383           1.108           0.240
  496384           1.109           0.241
  496385           1.106           0.238
  496386           1.108           0.240
  496387           1.108           0.240
  496388           1.108           0.240
  496389           1.108           0.240
  496390           1.108           0.240
  496391           1.112           0.244
  496392           1.110           0.242
  496393           1.109           0.241
  496394           1.110           0.242
  496395           1.109           0.241
  496396           1.108           0.240
  496397           1.108           0.240
  496398           1.110           0.242
  496399           1.106           0.238
  496400           1.110           0.242
  496401           1.112           0.244
  496402           1.109           0.241
  496403           1.105           0.237
  496404           1.107           0.239
  496405           1.104           0.236
  496406           1.104           0.236
  496407           1.110           0.242
  496408           1.105           0.237
  496409           1.107           0.239
  496410           1.099           0.231
  496411           1.097           0.229
  496412           1.096           0.228
  496413           1.095           0.227
  496414           1.099           0.231
  496415           1.099           0.231
  496416           1.097           0.229
  496417           1.098           0.230
  496418           1.096           0.228
  496419           1.092           0.224
  496420           1.094           0.226
  496421           1.091           0.223
  496422           1.093           0.225
  496423           1.093           0.225
  496424           1.097           0.229
  496425           1.095           0.227
  496426           1.095           0.227
  496427           1.098           0.230
  496428           1.101           0.233
  496429           1.104           0.236
  496430           1.098           0.230
  496431           1.100           0.232
  496432           1.098           0.230
  496433           1.099           0.231
  496434           1.096           0.228
  496435           1.093           0.225
  496436           1.090           0.222
  496437           1.088           0.220
  496438           1.092           0.224
  496439           1.092           0.224
  496440           1.093           0.225
  496441           1.091           0.223
  496444           1.092           0.224
  496445           1.096           0.228
  496446           1.097           0.229
  496447           1.096           0.228
  496448           1.094           0.226
  496449           1.095           0.227
  496450           1.097           0.229
  496451           1.098           0.230
  496452           1.099           0.231
  496453           1.100           0.232
  496454           1.099           0.231
  496455           1.101           0.233
  496456           1.100           0.232
  496457           1.105           0.237
  496459           1.105           0.237
  496460           1.104           0.236
  496461           1.107           0.239
  496462           1.105           0.237
  496463           1.102           0.234
  496464           1.099           0.231
  496465           1.095           0.227
  496466           1.097           0.229
  496467           1.097           0.229
  496468           1.101           0.233
  496469           1.099           0.231
  496470           1.101           0.233
  496471           1.096           0.228
  496472           1.099           0.231
  496473           1.099           0.231
  496474           1.099           0.231
  496475           1.103           0.235
  496476           1.102           0.234
  496477           1.104           0.236
  496478           1.106           0.238
  496479           1.104           0.236
  496480           1.101           0.233
  496481           1.103           0.235
  496482           1.100           0.232
  496483           1.101           0.233
  496484           1.103           0.235
  496485           1.102           0.234
  496486           1.097           0.229
  496487           1.095           0.227
  496488           1.094           0.226
  496489           1.098           0.230
  496490           1.099           0.231
  496491           1.102           0.234
  496492           1.100           0.232
  496493           1.102           0.234
  496494           1.100           0.232
  496495           1.100           0.232
  496496           1.095           0.227
  496497           1.094           0.226
  496498           1.096           0.228
  496499           1.099           0.231
  496500           1.100           0.232
  496501           1.103           0.235
  496502           1.104           0.236
  496503           1.099           0.231
  496504           1.098           0.230
  496505           1.095           0.227
  496506           1.097           0.229
  496507           1.097           0.229
  496508           1.098           0.230
  496509           1.094           0.226
  496510           1.091           0.223
  496511           1.087           0.219
  496512           1.090           0.222
  496513           1.088           0.220
  496514           1.090           0.222
  496515           1.089           0.221
  496516           1.092           0.224
  496517           1.091           0.223
  496518           1.091           0.223
  496519           1.092           0.224
  496520           1.089           0.221
  496521           1.091           0.223
  496522           1.091           0.223
  496523           1.086           0.218
  496524           1.084           0.216
  496525           1.083           0.215
  496526           1.081           0.213
  496527           1.082           0.214
  496528           1.081           0.213
  496529           1.079           0.211
  496530           1.079           0.211
  496531           1.082           0.214
  496532           1.089           0.221
  496533           1.090           0.222
  496534           1.092           0.224
  496535           1.096           0.228
  496536           1.096           0.228
  496537           1.096           0.228
  496538           1.094           0.226
  496539           1.094           0.226
  496540           1.091           0.223
  496541           1.089           0.221
  496542           1.090           0.222
  496543           1.085           0.217
  496544           1.084           0.216
  496545           1.081           0.213
  496546           1.085           0.217
  496547           1.081           0.213
  496548           1.079           0.211
  496549           1.080           0.212
  496550           1.077           0.209
  496551           1.077           0.209
  496552           1.075           0.207
  496553           1.076           0.208
  496554           1.079           0.211
  496555           1.082           0.214
  496556           1.076           0.208
  496557           1.073           0.205
  496558           1.075           0.207
  496559           1.074           0.206
  496560           1.078           0.210
  496561           1.073           0.205
  496562           1.071           0.203
  496563           1.072           0.204
  496564           1.068           0.200
  496565           1.071           0.203
  496566           1.065           0.197
  496567           1.070           0.202
  496568           1.069           0.201
  496569           1.071           0.203
  496570           1.068           0.200
  496571           1.068           0.200
  496572           1.071           0.203
  496573           1.074           0.206
  496574           1.067           0.199
  496575           1.071           0.203
  496576           1.068           0.200
  496577           1.064           0.196
  496578           1.065           0.197
  496579           1.067           0.199
  496580           1.056           0.188
  496581           1.053           0.185
  496582           1.047           0.179
  496583           1.045           0.177
  496584           1.043           0.175
  496585           1.048           0.180
  496586           1.048           0.180
  496587           1.049           0.181
  496588           1.048           0.180
  496589           1.050           0.182
  496590           1.048           0.180
  496591           1.052           0.184
  496592           1.046           0.178
  496593           1.050           0.182
  496594           1.046           0.178
  496595           1.047           0.179
  496596           1.058           0.190
  496597           1.068           0.200
  496598           1.103           0.235
  496599           1.068           0.200
  496600           1.077           0.209
  496601           1.073           0.205
  496602           1.078           0.210
  496603           1.000           0.132
  496604           1.006           0.138
  496605           1.013           0.145
  496606           1.018           0.150
  496607           1.022           0.154
  496608           1.025           0.157
  496609           1.024           0.156
  496610           1.022           0.154
  496611           1.025           0.157
  496612           1.030           0.162
  496613           1.026           0.158
  496614           1.025           0.157
  496615           1.025           0.157
  496616           1.023           0.155
  496617           1.021           0.153
  496618           1.025           0.157
  496619           1.029           0.161
  496620           1.027           0.159
  496621           1.025           0.157
  496622           1.030           0.162
  496623           1.028           0.160
  496624           1.025           0.157
  496625           1.030           0.162
  496626           1.031           0.163
  496627           1.031           0.163
  496628           1.030           0.162
  496629           1.027           0.159
  496630           1.028           0.160
  496631           1.030           0.162
  496632           1.035           0.167
  496633           1.032           0.164
  496634           1.032           0.164
  496635           1.029           0.161
  496636           1.026           0.158
  496637           1.027           0.159
  496638           1.028           0.160
  496639           1.024           0.156
  496640           1.025           0.157
  496641           1.022           0.154
  496642           1.027           0.159
  496643           1.026           0.158
  496644           1.023           0.155
  496645           1.026           0.158
  496646           1.025           0.157
  496647           1.026           0.158
  496648           1.024           0.156
  496649           1.030           0.162
  496650           1.029           0.161
  496651           1.028           0.160
  496652           1.028           0.160
  496653           1.026           0.158
  496654           1.025           0.157
  496655           1.027           0.159
  496656           1.029           0.161
  496657           1.026           0.158
  496658           1.025           0.157
  496659           1.024           0.156
  496660           1.023           0.155
  496661           1.025           0.157
  496662           1.029           0.161
  496663           1.024           0.156
  496664           1.022           0.154
  496665           1.020           0.152
  496666           1.022           0.154
  496667           1.020           0.152
  496668           1.018           0.150
  496669           1.016           0.148
  496670           1.017           0.149
  496671           1.023           0.155
