Epoch   v_north   v_east   v_up
  496299           0.004          -0.005          -0.011
  496300           0.012          -0.001          -0.005
  496301           0.003          -0.006          -0.015
  496302          -0.001           0.001           0.000
  496303          -0.008          -0.002          -0.007
  496304          -0.004          -0.002          -0.009
  496305           0.002          -0.005          -0.009
  496306           0.003          -0.002          -0.010
  496307          -0.003           0.002          -0.006
  496308           0.001           0.002           0.000
  496309          -0.008           0.002          -0.010
  496310          -0.012          -0.004          -0.005
  496311          -0.016           0.004           0.006
  496312          -0.011           0.011           0.007
  496313           0.000           0.010          -0.018
  496314          -0.007           0.009          -0.008
  496315           0.001          -0.002          -0.011
  496316          -0.009          -0.004          -0.001
  496317           0.000           0.011           0.000
  496318           0.001           0.012          -0.005
  496319          -0.002          -0.005          -0.013
  496320           0.002           0.000          -0.012
  496321           0.006          -0.009          -0.012
  496322          -0.002           0.002           0.000
  496323          -0.008           0.008           0.014
  496324          -0.006           0.005           0.009
  496325          -0.014          -0.001           0.004
  496326          -0.008          -0.007          -0.005
  496327          -0.010           0.002           0.009
  496328           0.002           0.004          -0.022
  496329           0.007          -0.003          -0.025
  496330           0.011           0.002          -0.002
  496331           0.004          -0.001          -0.008
  496332           0.001           0.005           0.001
  496333           0.008           0.000          -0.014
  496334           0.012           0.000          -0.015
  496335           0.007          -0.003          -0.008
  496336          -0.006          -0.002          -0.003
  496337          -0.006           0.000          -0.012
  496338          -0.006           0.003          -0.013
  496339          -0.011           0.009           0.002
  496340          -0.009           0.012           0.013
  496341          -0.013           0.015           0.005
  496342          -0.011           0.017          -0.001
  496343          -0.002           0.012           0.000
  496344          -0.008           0.013           0.007
  496345           0.001           0.004          -0.008
  496346           0.002          -0.005          -0.012
  496347          -0.001           0.005           0.000
  496348           0.000          -0.005          -0.023
  496349           0.010           0.001          -0.011
  496350           0.006          -0.001          -0.013
  496351           0.012           0.004          -0.012
  496352           0.000           0.003           0.007
  496353           0.004           0.001          -0.002
  496354           0.012           0.002          -0.014
  496355           0.001           0.002          -0.003
  496356           0.003          -0.008          -0.009
  496357           0.003          -0.001          -0.005
  496358          -0.004           0.009          -0.002
  496359          -0.003           0.005          -0.011
  496360           0.002           0.009          -0.003
  496361           0.004          -0.004          -0.014
