Epoch   v_north   v_east   v_up
  496309           0.005          -0.001           0.020
  496310           0.007           0.012           0.021
  496311           0.025          -0.009          -0.025
  496312           0.014          -0.011          -0.013
  496313           0.000          -0.010           0.005
  496314           0.011          -0.009           0.004
  496315           0.002           0.001           0.006
  496316           0.006           0.011           0.020
  496317          -0.001          -0.012           0.004
  496318          -0.003          -0.015          -0.006
  496319           0.000           0.006           0.023
  496320          -0.002           0.002           0.007
  496321          -0.007           0.005           0.015
  496322           0.000           0.005           0.014
  496323           0.010          -0.007          -0.018
  496324           0.011          -0.007          -0.012
  496325           0.012          -0.003          -0.019
  496326           0.010           0.006           0.006
  496327           0.014           0.001          -0.014
  496328          -0.002          -0.005           0.025
  496329          -0.006           0.000           0.019
  496330          -0.011          -0.002           0.000
  496331           0.001           0.001          -0.009
  496332          -0.006          -0.005           0.003
  496333          -0.011           0.003           0.032
  496334          -0.013          -0.003           0.013
  496335          -0.006           0.000          -0.002
  496336           0.007           0.003           0.008
  496337          -0.001           0.002           0.023
  496338           0.007          -0.001           0.019
  496339           0.011          -0.009          -0.003
  496340           0.010          -0.014          -0.013
  496341           0.011          -0.012           0.003
  496342           0.008          -0.014           0.006
  496343           0.003          -0.008           0.005
  496344           0.012          -0.016          -0.010
  496345          -0.002          -0.005           0.001
  496346          -0.001           0.005           0.009
  496347          -0.002          -0.002           0.014
  496348           0.006           0.006           0.022
  496349          -0.007          -0.008          -0.006
  496350          -0.007           0.005           0.021
  496351          -0.017          -0.004           0.016
  496352          -0.001           0.001           0.001
  496353           0.000          -0.005           0.002
  496354          -0.016          -0.003           0.015
  496355           0.001          -0.008          -0.018
  496356          -0.003           0.007           0.003
  496357          -0.006           0.006           0.018
  496358           0.005          -0.010          -0.003
  496359           0.006          -0.004           0.014
  496360          -0.007          -0.007           0.010
  496361           0.001           0.007           0.018
  496362           0.000          -0.006          -0.004
  496363          -0.012          -0.007           0.003
  496364           0.004           0.002          -0.006
  496365           0.005          -0.009           0.000
  496366           0.010          -0.028          -0.041
  496367           0.016          -0.015          -0.026
  496368           0.022          -0.025          -0.050
  496369           0.031          -0.031          -0.049
  496370           0.022          -0.018          -0.028
  496371           0.021          -0.013          -0.026
  496372           0.005          -0.011          -0.033
  496373           0.001          -0.016          -0.046
  496374           0.013          -0.019          -0.039
  496375           0.024          -0.021          -0.060
  496376           0.020          -0.010          -0.035
  496377           0.009          -0.010          -0.046
  496378          -0.004          -0.013          -0.024
  496379           0.020          -0.026          -0.045
  496380           0.015          -0.024          -0.051
  496381           0.021          -0.030          -0.054
  496382           0.010          -0.024          -0.034
  496383           0.004          -0.016          -0.005
  496384          -0.001          -0.012           0.009
  496385           0.013          -0.016          -0.007
  496386           0.017          -0.033          -0.048
  496387           0.008          -0.007          -0.002
  496388           0.013          -0.004          -0.007
  496389           0.015          -0.019          -0.026
  496390           0.000          -0.003           0.003
  496391           0.013          -0.016          -0.014
  496392           0.017          -0.028          -0.023
  496393           0.015          -0.024          -0.014
