Epoch   v_north   v_east   v_up
  496089           0.003          -0.005          -0.003
  496090          -0.007           0.003           0.007
  496091          -0.001          -0.000           0.000
  496092          -0.001          -0.002          -0.005
  496093           0.002           0.000          -0.005
  496094           0.002           0.002          -0.005
  496095          -0.002          -0.004          -0.010
  496096           0.004           0.001           0.007
  496097          -0.003          -0.004          -0.011
  496098           0.003          -0.002          -0.004
  496099          -0.002           0.002           0.003
  496100          -0.003          -0.003          -0.011
  496101           0.002          -0.001           0.010
  496102          -0.000          -0.002           0.003
  496103          -0.002          -0.002          -0.003
  496104          -0.002          -0.004          -0.005
  496105          -0.001           0.001           0.000
  496106           0.004          -0.002          -0.008
  496107           0.001           0.000          -0.001
  496108          -0.004           0.006           0.016
  496109          -0.002           0.000          -0.008
  496110           0.003          -0.001           0.002
  496111          -0.004          -0.001           0.001
  496112           0.002          -0.001          -0.007
  496113           0.003          -0.004          -0.009
  496114           0.001           0.002           0.005
  496115           0.004           0.000           0.001
  496116           0.001          -0.005          -0.007
  496117          -0.002          -0.003          -0.006
  496118           0.007           0.002          -0.001
  496119          -0.003          -0.005          -0.011
  496120           0.007           0.002          -0.001
  496121           0.002          -0.002          -0.003
  496122           0.005          -0.004          -0.015
  496123           0.001           0.001           0.005
  496124           0.001           0.005           0.004
  496125           0.003          -0.002          -0.006
  496126          -0.005           0.000           0.001
  496127           0.003          -0.001          -0.001
  496128           0.001          -0.002          -0.007
  496129          -0.002           0.001           0.001
  496130          -0.000           0.002          -0.002
  496131           0.001          -0.001          -0.004
  496132          -0.001           0.005           0.008
  496133          -0.000           0.000           0.001
  496134          -0.004           0.005           0.014
  496135          -0.003           0.001           0.006
  496136          -0.001           0.003          -0.005
  496137          -0.004          -0.003           0.000
  496138           0.004          -0.002          -0.012
  496139          -0.002           0.001           0.003
  496140           0.002          -0.003          -0.006
  496141           0.003          -0.001           0.002
  496142          -0.001          -0.002           0.000
  496143          -0.003           0.003           0.010
  496144           0.004          -0.004           0.001
  496145          -0.003           0.002           0.007
  496146           0.007          -0.003          -0.011
  496147          -0.001           0.001           0.008
  496148          -0.002           0.001           0.007
  496149           0.003           0.001          -0.006
  496150          -0.001           0.000          -0.001
  496151           0.002           0.001           0.008
  496152           0.004           0.002           0.006
  496153          -0.000          -0.005          -0.006
  496154           0.001          -0.001          -0.009
  496155          -0.005           0.001           0.004
  496156           0.001          -0.001           0.007
  496157           0.001           0.004           0.003
  496158          -0.003          -0.001          -0.002
  496159          -0.000          -0.002           0.000
  496160           0.002          -0.003          -0.007
  496161          -0.002          -0.001          -0.003
  496162          -0.001          -0.000           0.001
  496163           0.005           0.001          -0.009
  496164           0.006           0.000           0.002
  496165          -0.003           0.001           0.000
  496166           0.001           0.003          -0.000
  496167           0.001           0.004           0.012
  496168          -0.000           0.000          -0.003
  496169          -0.001           0.003           0.002
  496170          -0.003          -0.002          -0.003
  496171          -0.000          -0.001          -0.005
  496172           0.003          -0.000          -0.005
  496173          -0.001           0.003           0.008
  496174          -0.002          -0.006          -0.012
  496175          -0.003          -0.000           0.006
  496176          -0.001          -0.002           0.004
  496177           0.001           0.002          -0.002
  496178          -0.005           0.002           0.007
  496179          -0.003           0.002           0.005
  496180          -0.001           0.003           0.001
  496181           0.000           0.000          -0.001
  496182          -0.001          -0.003          -0.003
  496183           0.003           0.002           0.002
  496184           0.005          -0.006          -0.020
  496185           0.004          -0.004          -0.005
  496186          -0.005           0.003           0.002
  496187           0.004          -0.005          -0.009
  496188          -0.002           0.000          -0.007
  496189          -0.001           0.001           0.006
  496190           0.004          -0.001           0.000
  496191           0.003          -0.001          -0.009
  496192           0.002          -0.002          -0.003
  496193          -0.003           0.002           0.003
  496194          -0.006           0.001           0.003
  496195          -0.003          -0.005          -0.003
  496196          -0.000           0.001           0.001
  496197           0.004          -0.003          -0.004
  496198          -0.001           0.004           0.014
  496199          -0.001          -0.001          -0.005
  496200           0.004           0.004           0.006
  496201          -0.004           0.001          -0.001
  496202           0.001           0.002          -0.003
  496203          -0.004          -0.001          -0.006
  496204          -0.003           0.004           0.002
  496205          -0.004          -0.001           0.002
  496206          -0.001           0.002           0.001
  496207          -0.005          -0.000          -0.004
  496208           0.005           0.005           0.013
  496209          -0.004           0.003           0.003
  496210          -0.002           0.000           0.002
  496211           0.002           0.001          -0.005
  496212          -0.003           0.004          -0.002
  496213           0.001          -0.001          -0.001
  496214           0.003           0.000          -0.005
  496215           0.001          -0.002           0.008
  496216          -0.006           0.001           0.008
  496217          -0.002          -0.000          -0.003
  496218           0.001           0.002           0.005
  496219          -0.000          -0.004          -0.009
  496220           0.000           0.000           0.002
  496221          -0.002           0.004           0.001
  496222          -0.003           0.004           0.003
  496223           0.001          -0.001          -0.008
  496224           0.002          -0.001           0.001
  496225           0.002           0.002          -0.003
  496226          -0.001           0.001           0.008
  496227          -0.001           0.001           0.006
  496228           0.003          -0.003          -0.010
  496229           0.001          -0.001           0.011
  496230           0.002           0.004           0.011
  496231          -0.000          -0.001          -0.005
  496232           0.002          -0.003          -0.010
  496233          -0.000           0.001           0.002
  496234          -0.003           0.000          -0.003
  496235           0.003          -0.005          -0.019
  496236          -0.006           0.002           0.003
  496237          -0.002          -0.001           0.002
  496238           0.003           0.004           0.012
  496239          -0.003           0.003           0.007
  496240          -0.001          -0.001           0.002
  496241          -0.000          -0.003          -0.004
  496242          -0.004           0.001           0.003
  496243           0.001           0.001          -0.003
  496244           0.003          -0.001          -0.003
  496245          -0.002           0.002          -0.000
  496246           0.003           0.002           0.009
  496247          -0.002           0.001           0.001
  496248           0.003          -0.001           0.002
  496249           0.002          -0.001          -0.008
  496250          -0.002           0.002           0.005
  496251           0.001          -0.000          -0.007
  496252           0.001          -0.001          -0.000
  496253           0.000          -0.005          -0.014
  496254          -0.004           0.004           0.011
  496255           0.001          -0.001          -0.000
  496256          -0.001           0.002           0.006
  496257           0.004          -0.002          -0.001
  496258           0.001          -0.001          -0.009
  496259           0.002          -0.002          -0.003
  496260          -0.003           0.002           0.004
  496261          -0.002           0.001          -0.003
  496262          -0.001          -0.002           0.001
